X,Y,Site,Address,City,State,Type,API,Org
-122.2387615,37.74476394,Amelia Earhart Elementary,400 Packet Landing Rd,Alameda,CA,ES,933,Public
-122.2518556,37.73899928,Bay Farm Elementary,200 Aughinbaugh Way,Alameda,CA,ES,932,Public
-122.2589153,37.7620579,Donald D. Lum Elementary,1801 Sandcreek Way,Alameda,CA,ES,853,Public
-122.2348405,37.76525049,Edison Elementary,2700 Buena Vista Ave,Alameda,CA,ES,927,Public
-122.238078,37.753964,Frank Otis Elementary,3010 Fillmore St,Alameda,CA,ES,894,Public
-122.2615683,37.76910859,Franklin Elementary,1433 San Antonio Ave,Alameda,CA,ES,893,Public
-122.2510912,37.76949529,Henry Haight Elementary,2025 Santa Clara Ave,Alameda,CA,ES,821,Public
-122.2861378,37.78191493,Ruby Bridges Elementary,351 Jack London Ave,Alameda,CA,ES,802,Public
-122.2721893,37.77242708,Washington Elementary,825 Taylor Ave,Alameda,CA,ES,777,Public
-122.2843751,37.7714828,William G. Paden Elementary,444 Central Ave,Alameda,CA,ES,844,Public
-122.285832,37.77657296,Chipman Middle,401 Pacific Ave,Alameda,CA,MS,740,Public
-122.2330058,37.75182362,Lincoln Middle,1250 Fernside,Alameda,CA,MS,893,Public
-122.2618201,37.76301118,Will C. Wood Middle,420 Grand St,Alameda,CA,MS,768,Public
-122.2903376,37.77355124,Alameda Community Learning Center,210 Central Ave,Alameda,CA,HS,826,Public
-122.2480155,37.76436017,Alameda High,2201 Encinal Ave,Alameda,CA,HS,812,Public
-122.280535,37.7799634,Alameda Science and Technology Institute,555 Atlantic Ave,Alameda,CA,HS,844,Public
-122.2903376,37.77355124,Encinal High,210 Central Ave,Alameda,CA,HS,747,Public
-122.2877925,37.77862341,Bay Area School of Enterprise,1900 Third St,Alameda,CA,Small Schools,0,Public
-122.285877,37.78678026,Island High (Continuation),250 Singleton Ave,Alameda,CA,ASAM,0,Public
-122.2821628,37.77623122,Nea Community Learning Center,500 Pacific Ave.,Alameda,CA,K-12,0,Public
-122.3010216,37.88751332,Cornell Elementary,1000 Jackson Street,Albany,CA,ES,901,Public
-122.2880713,37.88853855,Marin Elementary,1001 Santa Fe Avenue,Albany,CA,ES,925,Public
-122.3010216,37.88751332,Ocean View Elementary,1000 Jackson Street,Albany,CA,ES,917,Public
-122.2952029,37.89792747,Albany Middle,1259 Brighton Avenue,Albany,CA,MS,881,Public
-122.292469,37.89665044,Albany High,603 Key Route Boulevard,Albany,CA,HS,806,Public
-122.3028742,37.89323301,MacGregor High (Continuation),720 Jackson Street,Albany,CA,ASAM,0,Public
-122.2708853,37.87647864,Berkeley Arts Magnet at Whittier,2015 Virginia St,Berkeley,CA,ES,829,Public
-122.2678276,37.8941773,Cragmont Elementary,830 Regal Road,Berkeley,CA,ES,843,Public
-122.2510193,37.861415,Emerson Elementary,2800 Forest Ave,Berkeley,CA,ES,842,Public
-122.2851395,37.87886185,Jefferson Elementary,1400 Ada Street,Berkeley,CA,ES,864,Public
-122.2458392,37.85716121,John Muir Elementary,2955 Claremont Ave,Berkeley,CA,ES,805,Public
-122.2623327,37.857431,Leconte Elementary,2241 Russell Street,Berkeley,CA,ES,748,Public
-122.2737541,37.85227789,Malcolm X Elementary,1731 Prince St,Berkeley,CA,ES,834,Public
-122.2684841,37.88796298,Oxford Elementary,1130 Oxford Street,Berkeley,CA,ES,875,Public
-122.2946813,37.86556987,Rosa Parks Environmental Science Magnet,920 Allston Way,Berkeley,CA,ES,735,Public
-122.28049,37.89304415,Thousand Oaks Elementary,840 Colusa,Berkeley,CA,ES,824,Public
-122.2724115,37.86700317,Washington Elementary,2300 M L King Jr. Way,Berkeley,CA,ES,811,Public
-122.2799954,37.85860911,Longfellow Arts and Technology Middle,1500 Derby Street,Berkeley,CA,MS,784,Public
-122.2770276,37.88119109,Martin Luther King Middle,1781 Rose Street,Berkeley,CA,MS,779,Public
-122.2586545,37.85974226,Willard Middle,2425 Stuart Street,Berkeley,CA,MS,772,Public
-122.2724861,37.86836676,Berkeley High,2223 Martin Luther King Jr. Way,Berkeley,CA,HS,0,Public
-122.2715148,37.85972427,Berkeley Technology Academy,2701 Martin Luther King Jr. Way,Berkeley,CA,Small Schools,0,Public
-122.0811373,37.69814308,Castro Valley Elementary,20185 San Miguel Avenue,Castro Valley,CA,ES,838,Public
-122.0900316,37.70710033,Chabot Elementary,19104 Lake Chabot Road,Castro Valley,CA,ES,898,Public
-122.0493553,37.69790926,Independent Elementary,21201 Independent School Road,Castro Valley,CA,ES,942,Public
-122.0308292,37.71300888,Jensen Ranch Elementary,20001 Carson Lane,Castro Valley,CA,ES,992,Public
-122.0658129,37.69840389,Marshall Elementary,20111 Marshall St.,Castro Valley,CA,ES,842,Public
-122.073565,37.71673207,Proctor Elementary,17520 Redwood Road,Castro Valley,CA,ES,896,Public
-122.093512,37.70005864,Stanton Elementary,2644 Somerset Avenue,Castro Valley,CA,ES,853,Public
-122.0586723,37.70671362,Vannoy Elementary,5100 Vannoy Ave,Castro Valley,CA,ES,904,Public
-122.0541577,37.70576034,Canyon Middle,19600 Cull Canyon Rd,Castro Valley,CA,MS,851,Public
-122.0611364,37.69994173,Creekside Middle,19722 Center Street,Castro Valley,CA,MS,875,Public
-122.0782865,37.7054186,Castro Valley High,19400 Santa Maria Avenue,Castro Valley,CA,HS,803,Public
-122.0715595,37.70786476,Roy A. Johnson High,4430 Alma Avenue,Castro Valley,CA,HS,0,Public
-122.024489,37.69538217,Palomares Elementary,6395 Palo Verde Road,Castro Valley,CA,Small Schools,0,Public
-122.0930084,37.71288297,Redwood Alternative High,18400 Clifton Way,Castro Valley,CA,ASAM,0,Public
-122.0930084,37.71288297,Redwood Continuation High,18400 Clifton Way,Castro Valley,CA,ASAM,0,Public
-121.9367961,37.71435786,Dublin Elementary,7997 Vomac Rd,Dublin,CA,ES,870,Public
-121.8642119,37.71496041,Eleanor Murray Fallon,3601 Kohnen Wy.,Dublin,CA,ES,900,Public
-121.9221911,37.71490645,Frederiksen Elementary,7243 Tamarack Dr,Dublin,CA,ES,832,Public
-121.8850222,37.71038286,James Dougherty Elementary,5301 Hibernia Dr,Dublin,CA,ES,944,Public
-121.8590857,37.71864763,John Green Elementary,3300 Antone Way,Dublin,CA,ES,925,Public
-121.9326772,37.72150747,Murray Elementary,8435 Davona Dr.,Dublin,CA,ES,836,Public
-121.9188277,37.71054473,Wells Middle,6800 Penn Dr.,Dublin,CA,MS,795,Public
-121.9262741,37.72026641,Dublin High,8151 Village Pkwy,Dublin,CA,HS,842,Public
-121.9211659,37.70924072,Valley High (Continuation),6901 York Dr.,Dublin,CA,ASAM,0,Public
-122.2793119,37.83216905,Anna Yates Elementary,1070 41st Street,Emeryville,CA,ES,773,Public
-122.2812814,37.83577533,Emery Secondary,1100 47th Street,Emeryville,CA,HS,650,Public
-122.0522241,37.57277759,Ardenwood Elementary,33955 Emilia Lane,Fremont,CA,ES,941,Public
-121.984793,37.53981744,Brier Elementary,39201 Sundale Drive,Fremont,CA,ES,819,Public
-122.0140299,37.56868568,Brookvale Elementary,3400 Nicolet Ave,Fremont,CA,ES,867,Public
-122.0233649,37.55093306,Cabrillo Elementary,36700 San Pedro Drive,Fremont,CA,ES,799,Public
-121.9514821,37.51994242,E. M. Grimmer Elementary,43030 Newport Drive,Fremont,CA,ES,800,Public
-122.0519363,37.56130224,Forest Park Elementary,34400 Maybird Circle,Fremont,CA,ES,964,Public
-121.9284414,37.50722601,Fred E. Weibel Elementary,45135 S. Grimmer Blvd,Fremont,CA,ES,973,Public
-122.0047939,37.54565404,Glenmoor Elementary,4620 Mattos Drive,Fremont,CA,ES,864,Public
-121.958209,37.5181168,Harvey Green Elementary,42875 Gatewood St,Fremont,CA,ES,848,Public
-121.9668695,37.54215568,J. Haley Durham Elementary,40292 Leslie St,Fremont,CA,ES,734,Public
-121.9231984,37.48653261,James Leitch Elementary,47100 Fernald St,Fremont,CA,ES,959,Public
-121.9776164,37.52811726,John Blacow Elementary,40404 Sundale Drive,Fremont,CA,ES,775,Public
-122.0116827,37.53817168,John G. Mattos Elementary,37944 Farwell Drive,Fremont,CA,ES,852,Public
-121.9476869,37.55042045,John Gomes Elementary,555 Lemos Lane,Fremont,CA,ES,984,Public
-121.9941009,37.53103106,Joseph Azevada Elementary,39450 Royal Palm Drive,Fremont,CA,ES,806,Public
-121.9399618,37.54224561,Joshua Chadbourne Elementary,801 Plymouth Ave,Fremont,CA,ES,988,Public
-121.9216605,37.5287288,Mission San Jose Elementary,43545 Bryant St,Fremont,CA,ES,993,Public
-121.9473632,37.53586042,Mission Valley Elementary,41700 Denise St,Fremont,CA,ES,956,Public
-121.984685,37.57695944,Niles Elementary,37141 Second St,Fremont,CA,ES,897,Public
-121.9630114,37.52824317,O. N. Hirsch Elementary,41399 Chapel Way,Fremont,CA,ES,846,Public
-122.0176362,37.56033997,Oliveira Elementary,4180 Alder Ave,Fremont,CA,ES,856,Public
-121.984694,37.56032198,Parkmont Elementary,2601 Parkside Dr,Fremont,CA,ES,927,Public
-122.0308652,37.5621566,Patterson Elementary,35521 Cabrillo Dr,Fremont,CA,ES,848,Public
-121.9739561,37.51998739,Steven Millard Elementary,5200 Valpey Park Dr,Fremont,CA,ES,890,Public
-121.9977612,37.54521337,Tom Maloney Elementary,38700 Logan Dr,Fremont,CA,ES,827,Public
-121.9600076,37.57445933,Vallejo Mill Elementary,38569 Canyon Heights Dr,Fremont,CA,ES,806,Public
-121.9252488,37.48289935,Warm Springs Elementary,47370 Warm Spring Blvd,Fremont,CA,ES,936,Public
-122.0308472,37.57635689,Warwick Elementary,3375 Warwick Rd,Fremont,CA,ES,872,Public
-122.0018801,37.55579839,Centerville Junior High,37720 Fremont Blvd,Fremont,CA,MS,835,Public
-121.986007,37.53747021,G. M. Walters Junior High,39600 Logan Dr,Fremont,CA,MS,808,Public
-121.9630563,37.52851296,John M. Horner Junior High,41365 Chapel Way,Fremont,CA,MS,883,Public
-122.0146415,37.55715637,Thornton Junior High,4357 Thornton Ave,Fremont,CA,MS,868,Public
-121.942345,37.54696705,William Hopkins Junior High,600 Driscoll Rd,Fremont,CA,MS,992,Public
-122.0174204,37.56371243,American High,36300 Fremont Blvd,Fremont,CA,HS,787,Public
-121.9919965,37.53789289,Circle of Independent Learning,4700 Calaveras Ave,Fremont,CA,HS,737,Public
-121.9690368,37.52273032,Irvington High,41800 Blacow Ave,Fremont,CA,HS,830,Public
-121.9831922,37.5283331,John F. Kennedy High,39999 Blacow Rd,Fremont,CA,HS,711,Public
-121.9320207,37.54508747,Mission San Jose High,41717 Palm Ave,Fremont,CA,HS,948,Public
