zip,city,state,county,lat,lon
501,Holtsville,NY,Suffolk,40.922326,-72.637078
544,Holtsville,NY,Suffolk,40.922326,-72.637078
601,Adjuntas,PR,Adjuntas,18.165273,-66.722583
602,Aguada,PR,Aguada,18.393103,-67.180953
603,Aguadilla,PR,Aguadilla,18.455913,-67.14578
604,Aguadilla,PR,Aguadilla,18.49352,-67.135883
605,Aguadilla,PR,Aguadilla,18.465162,-67.141486
606,Maricao,PR,Maricao,18.172947,-66.944111
610,Anasco,PR,Anasco,18.288685,-67.139696
611,Angeles,PR,Utuado,18.279531,-66.80217
612,Arecibo,PR,Arecibo,18.450674,-66.698262
613,Arecibo,PR,Arecibo,18.458093,-66.732732
614,Arecibo,PR,Arecibo,18.429675,-66.674506
616,Bajadero,PR,Arecibo,18.444792,-66.640678
617,Barceloneta,PR,Barceloneta,18.447092,-66.544255
622,Boqueron,PR,Cabo Rojo,17.998531,-67.187318
623,Cabo Rojo,PR,Cabo Rojo,18.062201,-67.149541
624,Penuelas,PR,Penuelas,18.023535,-66.726156
627,Camuy,PR,Camuy,18.477891,-66.85477
631,Castaner,PR,Lares,18.269187,-66.864993
636,Rosario,PR,San German,18.113284,-67.039706
637,Sabana Grande,PR,Sabana Grande,18.087322,-66.934911
638,Ciales,PR,Ciales,18.33616,-66.472087
641,Utuado,PR,Utuado,18.250027,-66.698957
646,Dorado,PR,Dorado,18.43606,-66.281954
647,Ensenada,PR,Guanica,17.969594,-66.939754
650,Florida,PR,Florida,18.360125,-66.562311
652,Garrochales,PR,Arecibo,18.457254,-66.603358
653,Guanica,PR,Guanica,17.972468,-66.898661
656,Guayanilla,PR,Guayanilla,18.02328,-66.786909
659,Hatillo,PR,Hatillo,18.481391,-66.808696
660,Hormigueros,PR,Hormigueros,18.145486,-67.135323
662,Isabela,PR,Isabela,18.480285,-67.028155
664,Jayuya,PR,Jayuya,18.217606,-66.598306
667,Lajas,PR,Lajas,18.015099,-67.055973
669,Lares,PR,Lares,18.295952,-66.881925
670,Las Marias,PR,Las Marias,18.252135,-66.990967
674,Manati,PR,Manati,18.44553,-66.490268
676,Moca,PR,Moca,18.383727,-67.080799
677,Rincon,PR,Rincon,18.335781,-67.252547
678,Quebradillas,PR,Quebradillas,18.45303,-66.933689
680,Mayaguez,PR,Mayaguez,18.219023,-67.508068
681,Mayaguez,PR,Mayaguez,18.219023,-67.508068
682,Mayaguez,PR,Mayaguez,18.219023,-67.508068
683,San German,PR,San German,18.113284,-67.039706
685,San Sebastian,PR,San Sebastian,18.3236,-66.972227
687,Morovis,PR,Morovis,18.316976,-66.415207
688,Sabana Hoyos,PR,Arecibo,18.429675,-66.674506
690,San Antonio,PR,Aguadilla,18.476196,-67.139597
692,Vega Alta,PR,Vega Alta,18.435818,-66.338523
693,Vega Baja,PR,Vega Baja,18.443109,-66.398302
694,Vega Baja,PR,Vega Baja,18.443109,-66.398302
698,Yauco,PR,Yauco,18.06104,-66.861164
703,Aguas Buenas,PR,Aguas Buenas,18.250398,-66.12845
704,Aguirre,PR,Guayama,17.99229,-66.139253
705,Aibonito,PR,Aibonito,18.128092,-66.268717
707,Maunabo,PR,Maunabo,18.007014,-65.898719
714,Arroyo,PR,Arroyo,17.96751,-66.04138
715,Mercedita,PR,Ponce,18.011854,-66.563721
716,Ponce,PR,Ponce,18.001995,-66.607429
717,Ponce,PR,Ponce,18.001995,-66.607429
718,Naguabo,PR,Naguabo,18.22139,-65.77831
719,Naranjito,PR,Naranjito,18.298017,-66.229751
720,Orocovis,PR,Orocovis,18.226862,-66.39402
721,Palmer,PR,Rio Grande,18.364161,-65.778288
723,Patillas,PR,Patillas,18.009994,-66.010572
725,Caguas,PR,Caguas,18.212965,-66.058033
726,Caguas,PR,Caguas,18.212965,-66.058033
727,Caguas,PR,Caguas,18.212965,-66.058033
728,Ponce,PR,Ponce,18.001995,-66.607429
729,Canovanas,PR,Canovanas,18.333093,-65.883864
730,Ponce,PR,Ponce,18.001995,-66.607429
731,Ponce,PR,Ponce,18.03831,-66.626344
732,Ponce,PR,Ponce,18.021781,-66.613742
733,Ponce,PR,Ponce,18.019331,-66.619165
734,Ponce,PR,Ponce,17.999499,-66.643934
