Date,Open,High,Low,Close,Volume,Adj Close
2000-03-01,102.0,105.5,100.06,100.25,10807800,84.48
2000-03-02,100.5,105.44,99.5,103.12,11192900,86.9
2000-03-03,107.25,110.0,106.06,108.0,10162800,91.01
2000-03-06,109.94,111.0,101.0,103.06,10747400,86.85
2000-03-07,106.0,107.0,101.69,103.0,10035100,86.8
2000-03-08,103.0,106.87,102.75,106.25,8376400,89.53
2000-03-09,106.5,108.0,104.12,108.0,6334100,91.01
2000-03-10,107.62,109.0,105.0,105.25,7093200,88.69
2000-03-13,104.0,109.0,102.5,107.69,7871000,90.75
2000-03-14,107.75,110.0,107.37,108.62,7973700,91.53
2000-03-15,107.5,108.25,106.12,107.0,5665900,90.17
2000-03-16,109.0,109.81,107.87,109.0,6622500,91.85
2000-03-17,108.25,111.69,107.69,110.0,8857300,92.69
2000-03-20,110.0,113.37,109.94,112.75,6563500,95.01
2000-03-21,112.81,114.69,111.94,113.5,6771600,95.64
2000-03-22,114.5,115.37,113.87,114.25,6137800,96.28
2000-03-23,115.87,115.87,111.62,115.25,6492400,97.12
2000-03-24,115.37,122.25,115.06,120.62,12125600,101.64
2000-03-27,125.0,128.25,124.62,126.87,11862900,106.91
2000-03-28,125.75,127.0,122.06,122.5,8149600,103.23
2000-03-29,122.31,122.44,118.5,119.0,7312300,100.28
2000-03-30,118.87,123.0,118.69,122.75,9158000,103.44
2000-03-31,122.62,123.75,117.06,118.37,8015200,99.75
2000-04-03,120.0,122.37,119.44,122.0,7715600,102.81
2000-04-04,121.5,126.94,115.06,121.19,16667200,102.12
2000-04-05,120.5,125.75,119.75,125.0,8693500,105.34
2000-04-06,123.5,128.0,122.62,122.75,8887400,103.44
2000-04-07,123.5,125.69,121.5,123.12,5380300,103.75
2000-04-10,124.75,125.37,121.56,122.12,5507300,102.91
2000-04-11,121.62,121.62,117.81,119.37,7738700,100.59
2000-04-12,119.62,119.62,111.69,113.75,8885200,95.85
2000-04-13,112.5,114.31,110.0,110.62,8236400,93.22
2000-04-14,109.81,112.75,102.87,105.0,11782000,88.48
2000-04-17,103.87,112.25,103.31,111.87,9969500,94.27
2000-04-18,112.25,115.12,110.06,111.5,8205500,93.96
2000-04-19,109.75,109.75,102.81,105.0,14674500,88.48
2000-04-20,105.0,105.25,102.06,104.0,10633300,87.64
2000-04-24,102.0,107.19,101.25,106.5,8523100,89.75
2000-04-25,106.5,113.0,106.44,112.5,9576400,94.8
2000-04-26,112.5,113.94,109.0,110.5,6182800,93.12
2000-04-27,109.5,113.12,108.69,110.62,6317500,93.22
2000-04-28,112.0,112.69,110.12,111.5,4888600,93.96
2000-05-01,112.5,113.19,110.44,112.0,4196100,94.38
2000-05-02,111.0,113.62,110.69,111.37,4085000,93.85
2000-05-03,110.5,111.12,106.56,108.12,5543800,91.11
2000-05-04,109.12,109.19,107.19,107.62,3631300,90.69
2000-05-05,106.62,109.62,106.5,107.87,4695100,90.9
2000-05-08,108.06,110.37,107.62,109.75,4826900,92.6
2000-05-09,110.5,110.62,108.25,109.0,4864900,91.96
2000-05-10,105.5,105.69,102.06,103.0,10012700,86.9
2000-05-11,104.0,107.5,103.19,104.44,8106200,88.12
2000-05-12,103.75,105.75,103.25,104.44,5599700,88.12
2000-05-15,104.0,104.87,102.0,104.19,5907800,87.9
2000-05-16,105.12,109.25,105.0,109.0,7265800,91.96
2000-05-17,107.5,108.87,106.12,107.87,5524500,91.01
2000-05-18,106.12,107.31,104.69,106.06,4577200,89.48
2000-05-19,106.06,107.5,105.0,106.44,6419200,89.8
2000-05-22,106.0,109.25,103.44,109.25,6769400,92.17
2000-05-23,109.0,110.0,107.12,107.37,5978900,90.59
2000-05-24,106.5,110.0,104.19,109.62,8184200,92.49
2000-05-25,110.5,112.25,106.37,106.5,5967600,89.85
2000-05-26,105.5,107.19,104.56,106.94,4296900,90.23
2000-05-30,107.75,111.0,107.69,110.94,3617500,93.6
2000-05-31,110.5,110.75,107.19,107.31,3732500,90.54
2000-06-01,107.56,108.94,105.5,106.0,5712500,89.43
2000-06-02,109.0,109.75,107.62,108.81,5473300,91.8
2000-06-05,108.44,114.19,108.44,112.81,7281400,95.18
2000-06-06,112.25,114.62,111.25,112.37,5369400,94.81
2000-06-07,112.5,121.75,111.5,121.0,11115500,102.09
2000-06-08,119.37,122.31,117.5,119.75,9325600,101.03
2000-06-09,119.87,120.75,118.87,119.69,4739100,100.98
2000-06-12,119.12,120.44,118.84,118.84,3640300,100.27
2000-06-13,118.87,119.94,116.75,119.31,4008600,100.66
2000-06-14,118.87,120.0,115.5,116.0,5282600,97.87
2000-06-15,116.0,119.0,115.87,116.81,5386300,98.55
2000-06-16,116.31,117.69,113.25,113.25,8046200,95.55
2000-06-19,113.5,120.37,113.25,120.37,6059200,101.56
2000-06-20,120.0,120.69,115.37,116.37,7103800,98.18
2000-06-21,115.56,115.94,113.5,114.5,6487000,96.6
2000-06-22,114.12,114.31,111.25,111.81,4853100,94.33
2000-06-23,113.5,113.62,110.81,111.87,3360900,94.38
2000-06-26,113.0,115.75,112.87,114.41,3625900,96.53
2000-06-27,111.62,112.81,108.75,109.75,6607900,92.6
2000-06-28,110.0,115.19,109.87,113.78,6436600,96.0
2000-06-29,111.75,114.37,110.06,114.0,7688500,96.18
2000-06-30,112.69,113.19,108.62,109.56,8612600,92.44
2000-07-03,108.75,109.87,108.31,109.5,2304400,92.38
2000-07-05,105.62,105.62,101.12,105.0,14339600,88.59
2000-07-06,105.0,105.12,100.0,101.25,12932700,85.42
2000-07-07,102.69,105.06,101.62,105.06,9031700,88.64
2000-07-10,104.69,104.94,102.87,103.31,4212200,87.16
2000-07-11,103.25,104.0,101.0,102.0,5619800,86.06
2000-07-12,103.19,105.87,102.62,104.62,5550500,88.27
2000-07-13,105.44,105.94,102.0,104.0,5669700,87.74
2000-07-14,103.75,104.87,103.12,103.94,4020000,87.69
2000-07-17,104.44,107.87,104.19,105.5,6632700,89.01
2000-07-18,104.12,104.81,102.62,103.31,6452700,87.16
2000-07-19,102.37,109.5,101.0,108.75,7781400,91.75
2000-07-20,112.0,117.81,111.75,117.25,23048400,98.92
2000-07-21,117.0,117.0,113.75,114.75,8966400,96.81
2000-07-24,114.12,115.62,111.62,112.5,6814400,94.92
2000-07-25,113.25,113.37,110.25,112.0,5566900,94.49
2000-07-26,111.0,112.37,108.87,109.87,6670400,92.7
2000-07-27,109.87,111.5,109.31,110.31,4047400,93.07
2000-07-28,111.12,112.5,108.87,111.81,5355600,94.33
2000-07-31,110.5,113.69,110.06,112.25,5113500,94.71
2000-08-01,112.0,112.44,110.25,110.5,2996500,93.23
2000-08-02,111.0,114.87,110.75,114.25,5877900,96.39
2000-08-03,113.0,116.5,112.31,116.0,5567400,97.87
2000-08-04,116.0,116.5,114.31,115.87,4460500,97.76
2000-08-07,116.62,119.0,115.81,116.31,5910700,98.13
2000-08-08,115.69,119.62,115.56,118.87,5736700,100.4
2000-08-09,119.0,120.81,118.75,118.75,6585400,100.3
2000-08-10,118.75,120.25,117.87,119.75,5484100,101.15
2000-08-11,119.75,121.81,119.19,120.62,6142400,101.88
2000-08-14,120.0,123.69,119.31,123.25,4949400,104.1
2000-08-15,122.06,122.62,120.75,122.0,4378100,103.05
2000-08-16,121.06,122.94,119.5,122.37,5946000,103.36
2000-08-17,119.75,122.81,119.5,122.5,4338400,103.47
2000-08-18,122.37,123.37,120.12,120.44,4127500,101.73
2000-08-21,121.06,122.19,120.06,121.44,3234200,102.57
2000-08-22,121.19,122.19,121.0,121.37,2769400,102.51
2000-08-23,120.31,123.75,119.87,123.25,4251200,104.1
2000-08-24,123.0,125.44,122.69,124.81,5988300,105.42
2000-08-25,124.31,129.88,124.25,129.0,8279000,108.96
2000-08-28,129.88,133.19,129.75,131.5,8536600,111.07
2000-08-29,131.5,134.25,131.0,132.88,6040000,112.24
2000-08-30,130.75,131.5,129.56,130.31,4928800,110.07
2000-08-31,131.88,134.19,131.63,132.02,5469500,111.51
2000-09-01,133.06,134.94,132.63,133.63,5776300,112.87
2000-09-05,132.81,133.31,130.81,131.19,4112100,110.81
2000-09-06,130.88,134.88,130.38,131.44,6473000,111.02
2000-09-07,131.88,134.5,131.88,133.38,4622800,112.66
2000-09-08,132.5,132.94,129.38,129.5,4993700,109.38
2000-09-11,127.87,128.25,123.62,124.5,7617700,105.16
2000-09-12,124.81,126.87,124.06,125.0,5001700,105.58
2000-09-13,123.12,128.81,122.75,127.69,5473600,107.85
2000-09-14,128.0,129.19,126.31,126.87,4425500,107.16
2000-09-15,126.81,127.25,124.75,125.0,5481700,105.58
2000-09-18,125.25,126.0,123.06,123.25,3932800,104.1
2000-09-19,122.75,126.25,122.56,124.94,3341000,105.53
2000-09-20,124.69,126.56,123.5,124.75,4623400,105.37
2000-09-21,124.19,126.69,120.0,121.5,4302200,102.62
2000-09-22,123.0,124.31,121.31,123.87,5930100,104.63
2000-09-25,124.5,126.62,121.0,123.0,4291000,103.89
2000-09-26,120.0,121.87,118.37,119.12,6217200,100.61
2000-09-27,120.06,120.31,115.5,118.0,5948900,99.67
2000-09-28,117.37,118.87,115.0,115.25,5309100,97.34
2000-09-29,115.5,116.94,110.25,112.62,9594600,95.12
2000-10-02,112.62,119.62,112.62,117.81,8872200,99.51
2000-10-03,118.87,119.37,110.0,110.56,11744200,93.38
2000-10-04,110.37,114.87,108.56,114.37,11668900,96.6
2000-10-05,113.81,114.56,111.56,113.19,5547000,95.61
2000-10-06,114.0,116.12,112.75,116.0,6108400,97.98
2000-10-09,115.94,119.37,114.31,117.94,4898000,99.62
2000-10-10,116.62,117.12,112.44,114.87,5614200,97.02
2000-10-11,111.87,112.94,107.5,112.0,8775800,94.6
2000-10-12,114.25,114.37,103.12,103.12,9704900,87.1
2000-10-13,104.19,110.44,104.19,109.06,9092600,92.12
