,position_lat,position_long,altitude,power,cadence,distance,speed,time
0,-138827872,1992059008,12.799999999999956,68,5,2.07,1.621,0 days 00:00:00
1,-138827680,1992059008,12.799999999999956,58,5,3.88,1.996,0 days 00:00:01
2,-138827456,1992059008,12.799999999999956,59,67,6.03,2.264,0 days 00:00:02
3,-138827200,1992059264,12.799999999999956,66,76,8.41,2.536,0 days 00:00:03
4,-138826928,1992059264,12.799999999999956,65,76,11.05,2.766,0 days 00:00:04
5,-138826624,1992059264,12.799999999999956,65,83,13.94,2.967,0 days 00:00:05
6,-138826304,1992059392,12.799999999999956,66,82,17.08,3.166,0 days 00:00:06
7,-138825968,1992059392,12.799999999999956,66,84,20.21,3.337,0 days 00:00:07
8,-138825600,1992059392,12.799999999999956,64,85,23.62,3.494,0 days 00:00:08
9,-138825232,1992059648,12.799999999999956,65,85,27.2,3.64,0 days 00:00:09
10,-138824816,1992059648,13.0,65,84,31.03,3.781,0 days 00:00:10
11,-138824416,1992059776,13.0,65,84,34.87,3.908,0 days 00:00:11
12,-138824000,1992059776,13.0,65,84,38.72,4.027,0 days 00:00:12
13,-138823552,1992059776,13.0,66,83,42.91,4.128,0 days 00:00:13
14,-138823120,1992060032,13.0,64,83,46.91,4.185,0 days 00:00:14
15,-138822656,1992060032,13.0,65,84,51.33,4.232,0 days 00:00:15
16,-138822208,1992060160,13.0,65,83,55.56,4.321,0 days 00:00:16
17,-138821776,1992060160,13.0,65,83,59.79,4.409,0 days 00:00:17
18,-138821296,1992060288,13.0,65,82,64.3,4.496,0 days 00:00:18
19,-138820832,1992060544,13.0,64,84,68.92,4.574,0 days 00:00:19
20,-138820384,1992060672,13.0,64,82,73.58,4.638,0 days 00:00:20
21,-138819968,1992061056,13.0,66,81,78.13,4.711,0 days 00:00:21
22,-138819584,1992061440,13.0,66,80,82.77,4.786,0 days 00:00:22
23,-138819232,1992061824,13.0,65,80,87.63,4.854,0 days 00:00:23
24,-138818880,1992062208,13.0,65,81,92.56,4.92,0 days 00:00:24
25,-138818576,1992062464,13.0,64,80,97.51,4.983,0 days 00:00:25
26,-138818272,1992063104,13.0,65,80,102.45,5.038,0 days 00:00:26
27,-138818000,1992063488,13.0,66,79,107.73,5.095,0 days 00:00:27
28,-138817728,1992064000,13.0,64,79,112.84,5.144,0 days 00:00:28
29,-138817488,1992064512,13.0,66,80,118.11,5.193,0 days 00:00:29
30,-138817264,1992065024,13.0,65,80,123.09,5.237,0 days 00:00:30
31,-138817040,1992065664,13.0,65,82,128.35,5.28,0 days 00:00:31
32,-138816816,1992066176,13.0,65,81,133.91,5.325,0 days 00:00:32
33,-138816624,1992066688,13.0,66,81,139.22,5.366,0 days 00:00:33
34,-138816432,1992067200,13.0,66,81,144.36,5.408,0 days 00:00:34
35,-138816208,1992067840,13.0,64,82,149.95,5.455,0 days 00:00:35
36,-138815984,1992068352,13.0,66,83,155.23,5.499,0 days 00:00:36
37,-138815760,1992068864,13.0,65,82,161.03,5.552,0 days 00:00:37
38,-138815536,1992069504,13.0,65,83,166.61,5.596,0 days 00:00:38
39,-138815296,1992070016,13.0,65,84,172.13,5.639,0 days 00:00:39
40,-138815040,1992070528,13.0,65,83,177.94,5.682,0 days 00:00:40
41,-138814816,1992071040,13.0,65,83,183.33,5.723,0 days 00:00:41
42,-138814560,1992071680,13.0,64,82,189.18,5.765,0 days 00:00:42
43,-138814336,1992072320,13.0,65,82,194.88,5.803,0 days 00:00:43
44,-138814096,1992072960,13.0,65,82,200.86,5.837,0 days 00:00:44
45,-138813856,1992073472,13.0,65,81,206.97,5.867,0 days 00:00:45
46,-138813648,1992074112,13.0,66,81,212.7,5.893,0 days 00:00:46
47,-138813440,1992074752,13.0,66,80,218.28,5.915,0 days 00:00:47
48,-138813264,1992075264,13.0,64,81,224.2,5.933,0 days 00:00:48
49,-138813040,1992076032,13.0,65,82,230.44,5.953,0 days 00:00:49
50,-138812848,1992076544,13.0,65,81,236.15,5.972,0 days 00:00:50
51,-138812656,1992077056,13.0,66,81,242.11,6.009,0 days 00:00:51
52,-138812448,1992077824,13.0,65,81,248.25,6.094,0 days 00:00:52
53,-138812240,1992078336,13.0,65,82,254.5,6.224,0 days 00:00:53
54,-138812016,1992079104,13.0,66,83,260.88,6.273,0 days 00:00:54
55,-138811760,1992079616,13.0,64,84,267.23,6.307,0 days 00:00:55
56,-138811504,1992080384,13.0,65,84,273.36,6.341,0 days 00:00:56
57,-138811264,1992080896,13.0,65,83,279.65,6.37,0 days 00:00:57
58,-138811040,1992081664,13.0,65,82,286.23,6.389,0 days 00:00:58
59,-138810848,1992082304,13.0,64,82,292.68,6.414,0 days 00:00:59
60,-138810672,1992083072,13.0,65,82,299.18,6.438,0 days 00:01:00
61,-138810560,1992083584,13.0,66,81,305.42,6.455,0 days 00:01:01
62,-138810496,1992084352,13.0,65,82,311.98,6.459,0 days 00:01:02
63,-138810448,1992085120,13.0,64,81,318.2,6.455,0 days 00:01:03
64,-138810464,1992085888,13.0,66,81,324.86,6.454,0 days 00:01:04
65,-138810544,1992086528,13.0,65,81,331.38,6.446,0 days 00:01:05
66,-138810672,1992087296,13.0,65,82,337.62,6.43,0 days 00:01:06
67,-138810832,1992087808,13.0,65,82,343.98,6.42,0 days 00:01:07
68,-138811040,1992088576,13.0,65,83,350.8,6.42,0 days 00:01:08
69,-138811264,1992089344,13.0,65,83,357.01,6.415,0 days 00:01:09
70,-138811472,1992089856,13.0,64,83,363.46,6.403,0 days 00:01:10
71,-138811696,1992090496,13.0,65,83,369.56,6.398,0 days 00:01:11
72,-138811936,1992091264,13.0,66,81,376.38,6.397,0 days 00:01:12
73,-138812160,1992091776,13.200000000000044,67,81,382.6,6.402,0 days 00:01:13
74,-138812432,1992092544,13.200000000000044,64,83,389.11,6.396,0 days 00:01:14
75,-138812688,1992093056,13.200000000000044,68,84,395.39,6.38,0 days 00:01:15
76,-138812912,1992093824,13.200000000000044,69,84,401.59,6.365,0 days 00:01:16
77,-138813120,1992094336,13.200000000000044,71,82,408.04,6.356,0 days 00:01:17
78,-138813312,1992095104,13.200000000000044,69,81,414.28,6.357,0 days 00:01:18
79,-138813504,1992095872,13.200000000000044,71,81,420.76,6.47,0 days 00:01:19
80,-138813664,1992096512,13.200000000000044,70,82,427.32,6.544,0 days 00:01:20
81,-138813808,1992097152,13.200000000000044,69,83,433.87,6.559,0 days 00:01:21
82,-138813904,1992097792,13.399999999999975,70,83,440.39,6.543,0 days 00:01:22
83,-138813968,1992098560,13.399999999999975,71,82,446.85,6.503,0 days 00:01:23
84,-138813984,1992099328,13.399999999999975,69,83,453.36,6.444,0 days 00:01:24
85,-138813952,1992099968,13.399999999999975,71,82,459.86,6.375,0 days 00:01:25
86,-138813872,1992100736,13.600000000000025,69,82,466.15,6.298,0 days 00:01:26
87,-138813696,1992101248,13.600000000000025,70,82,472.38,6.212,0 days 00:01:27
88,-138813472,1992102016,13.600000000000025,70,81,478.57,6.14,0 days 00:01:28
89,-138813232,1992102528,13.799999999999956,71,80,484.65,6.065,0 days 00:01:29
90,-138812960,1992103168,13.799999999999956,70,80,490.58,5.982,0 days 00:01:30
91,-138812640,1992103808,14.0,69,82,496.7,5.884,0 days 00:01:31
92,-138812352,1992104448,14.0,70,80,502.35,5.791,0 days 00:01:32
93,-138812016,1992104960,14.0,71,80,508.46,5.686,0 days 00:01:33
94,-138811712,1992105472,14.200000000000044,69,79,513.8,5.59,0 days 00:01:34
95,-138811344,1992105856,14.200000000000044,70,80,519.54,5.492,0 days 00:01:35
96,-138811024,1992106368,14.399999999999975,71,79,524.9,5.414,0 days 00:01:36
97,-138810688,1992106880,14.399999999999975,71,78,530.16,5.339,0 days 00:01:37
98,-138810336,1992107264,14.399999999999975,69,80,535.6,5.262,0 days 00:01:38
99,-138810000,1992107904,14.600000000000025,71,79,540.73,5.189,0 days 00:01:39
100,-138809664,1992108160,14.600000000000025,69,79,546.02,5.11,0 days 00:01:40
101,-138809344,1992108800,14.799999999999956,69,81,550.98,5.029,0 days 00:01:41
102,-138809024,1992109184,14.799999999999956,70,80,556.03,4.947,0 days 00:01:42
103,-138808720,1992109440,14.799999999999956,71,80,560.78,4.875,0 days 00:01:43
104,-138808400,1992110080,15.0,70,80,565.73,4.798,0 days 00:01:44
105,-138808096,1992110464,15.0,70,81,570.66,4.726,0 days 00:01:45
106,-138807776,1992110976,15.200000000000044,70,80,575.78,4.65,0 days 00:01:46
107,-138807520,1992111360,15.200000000000044,71,80,580.07,4.591,0 days 00:01:47
108,-138807280,1992111616,15.200000000000044,70,80,584.38,4.531,0 days 00:01:48
109,-138807056,1992112000,15.399999999999975,70,80,588.95,4.468,0 days 00:01:49
110,-138806880,1992112640,15.399999999999975,70,80,593.3,4.41,0 days 00:01:50
111,-138806736,1992112896,15.600000000000025,71,80,597.91,4.349,0 days 00:01:51
112,-138806656,1992113536,15.600000000000025,70,79,601.94,4.308,0 days 00:01:52
113,-138806624,1992113920,15.600000000000025,71,80,606.34,4.268,0 days 00:01:53
114,-138806656,1992114432,15.799999999999956,69,81,610.6,4.233,0 days 00:01:54
115,-138806704,1992114816,15.799999999999956,71,81,614.75,4.204,0 days 00:01:55
116,-138806800,1992115328,15.799999999999956,70,81,619.08,4.189,0 days 00:01:56
117,-138806928,1992115712,16.0,72,81,623.06,4.19,0 days 00:01:57
118,-138807136,1992116224,16.0,70,83,627.48,4.2,0 days 00:01:58
119,-138807360,1992116608,16.0,69,83,631.48,4.214,0 days 00:01:59
120,-138807648,1992116992,16.0,71,84,635.74,4.241,0 days 00:02:00
121,-138807984,1992117376,16.0,68,83,640.26,4.278,0 days 00:02:01
122,-138808304,1992117504,16.200000000000045,71,83,644.26,4.319,0 days 00:02:02
123,-138808704,1992117888,16.200000000000045,69,82,648.66,4.367,0 days 00:02:03
124,-138809104,1992118016,16.200000000000045,71,81,653.27,4.427,0 days 00:02:04
125,-138809504,1992118400,16.200000000000045,70,80,657.65,4.491,0 days 00:02:05
126,-138809952,1992118656,16.200000000000045,70,80,662.16,4.556,0 days 00:02:06
127,-138810416,1992118784,16.200000000000045,70,81,666.71,4.621,0 days 00:02:07
128,-138810928,1992118784,16.200000000000045,70,81,671.48,4.7,0 days 00:02:08
129,-138811424,1992118784,16.200000000000045,70,80,676.13,4.789,0 days 00:02:09
130,-138811952,1992118784,16.200000000000045,70,81,681.03,4.88,0 days 00:02:10
131,-138812448,1992118656,16.200000000000045,71,80,685.73,4.968,0 days 00:02:11
132,-138812992,1992118656,16.200000000000045,69,82,690.81,5.052,0 days 00:02:12
