Airline,AirlineID,Source,SourceID,Destination,DestinationID,Codeshare,Stops,Equipment
2O,146,ADQ,3531,KLN,7162,,0,BNI
2O,146,KLN,7162,KYK,7161,,0,BNI
3E,10739,BRL,5726,ORD,3830,,0,CNC
3E,10739,BRL,5726,STL,3678,,0,CNC
3E,10739,DEC,4042,ORD,3830,,0,CNC
3E,10739,DEC,4042,STL,3678,,0,CNC
3E,10739,JBR,3591,STL,3678,,0,CNC
3E,10739,ORD,3830,BRL,5726,,0,CNC
3E,10739,ORD,3830,DEC,4042,,0,CNC
3E,10739,STL,3678,BRL,5726,,0,CNC
3E,10739,STL,3678,DEC,4042,,0,CNC
3E,10739,STL,3678,JBR,3591,,0,CNC
3F,16262,KTN,3808,MTM,7146,,0,DHP
3F,16262,MTM,7146,KTN,3808,,0,DHP
3M,20710,ATL,3682,LWB,6958,,0,SF3
3M,20710,ATL,3682,MCN,3754,,0,SF3
3M,20710,ATL,3682,MEI,4335,,0,SF3
3M,20710,ATL,3682,MSL,5756,,0,SF3
3M,20710,ATL,3682,PIB,5759,,0,SF3
3M,20710,ATL,3682,TUP,5773,,0,SF3
3M,20710,EYW,3875,FLL,3533,,0,SF3
3M,20710,EYW,3875,RSW,3793,,0,SF3
3M,20710,EYW,3875,TPA,3646,,0,SF3
3M,20710,FLL,3533,EYW,3875,,0,SF3
3M,20710,FLL,3533,MCO,3878,,0,SF3
3M,20710,FLL,3533,TPA,3646,,0,SF3
3M,20710,GLH,6130,TUP,5773,,0,SF3
3M,20710,GNV,3472,MCO,3878,,0,SF3
3M,20710,GNV,3472,TPA,3646,,0,SF3
3M,20710,JAX,3712,TPA,3646,,0,SF3
3M,20710,LWB,6958,ATL,3682,,0,SF3
3M,20710,MCN,3754,ATL,3682,,0,SF3
3M,20710,MCN,3754,MCO,3878,,0,SF3
3M,20710,MCO,3878,FLL,3533,,0,SF3
3M,20710,MCO,3878,GNV,3472,,0,SF3
3M,20710,MCO,3878,MCN,3754,,0,SF3
3M,20710,MCO,3878,PNS,3564,,0,SF3
3M,20710,MCO,3878,RSW,3793,,0,SF3
3M,20710,MCO,3878,TLH,3698,,0,SF3
3M,20710,MEI,4335,ATL,3682,,0,SF3
3M,20710,MSL,5756,ATL,3682,,0,SF3
